From,Sent,X-Received,Received_1,Received_2,Received_3,Received_4,Received_5,Sent_time_and_timezone,X-Received_time_and_timezone,Received_1_time_and_timezone,Received_2_time_and_timezone,Received_3_time_and_timezone,Received_4_time_and_timezone,Sent_sa,X-Received_sa,Received_1_sa,Received_2_sa,Received_3_sa,Received_4_sa
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Sat, 18 Mar 2023 01:38:53 -0700","Sat, 18 Mar 2023 01:38:53 -0700","Sat, 18 Mar 2023 01:38:54 -0700","Sat, 18 Mar 2023 01:38:53 -0700",,,,01:38:53 -0700,01:38:53 -0700,01:38:54 -0700,01:38:53 -0700,,,10:30:53,10:30:53,10:30:54,10:30:53,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Tue, 21 Mar 2023 04:54:54 -0700","Tue, 21 Mar 2023 04:54:54 -0700","Tue, 21 Mar 2023 04:54:54 -0700","Tue, 21 Mar 2023 04:54:54 -0700",,,,04:54:54 -0700,04:54:54 -0700,04:54:54 -0700,04:54:54 -0700,,,13:46:54,13:46:54,13:46:54,13:46:54,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Thu, 30 Mar 2023 04:34:40 -0700","Thu, 30 Mar 2023 04:34:41 -0700","Thu, 30 Mar 2023 04:34:41 -0700","Thu, 30 Mar 2023 04:34:41 -0700",,,,04:34:40 -0700,04:34:41 -0700,04:34:41 -0700,04:34:41 -0700,,,13:26:40,13:26:41,13:26:41,13:26:41,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Tue, 28 Feb 2023 03:00:42 -0800","Tue, 28 Feb 2023 03:00:42 -0800","Tue, 28 Feb 2023 03:00:43 -0800","Tue, 28 Feb 2023 03:00:42 -0800",,,,03:00:42 -0800,03:00:42 -0800,03:00:43 -0800,03:00:42 -0800,,,12:52:42,12:52:42,12:52:43,12:52:42,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Thu, 02 Mar 2023 06:31:14 -0800","Thu, 02 Mar 2023 06:31:14 -0800","Thu, 2 Mar 2023 06:31:14 -0800","Thu, 02 Mar 2023 06:31:14 -0800",,,,06:31:14 -0800,06:31:14 -0800,06:31:14 -0800,06:31:14 -0800,,,16:23:14,16:23:14,16:23:14,16:23:14,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Thu, 16 Mar 2023 05:38:09 -0700","Thu, 16 Mar 2023 05:38:09 -0700","Thu, 16 Mar 2023 05:38:09 -0700","Thu, 16 Mar 2023 05:38:09 -0700",,,,05:38:09 -0700,05:38:09 -0700,05:38:09 -0700,05:38:09 -0700,,,14:30:09,14:30:09,14:30:09,14:30:09,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Tue, 21 Jun 2022 12:11:11 +0000","Tue, 21 Jun 2022 05:11:13 -0700","Tue, 21 Jun 2022 05:11:14 -0700","Tue, 21 Jun 2022 05:11:13 -0700",,,,12:11:11 +0000,05:11:13 -0700,05:11:14 -0700,05:11:13 -0700,,,14:03:11,14:03:13,14:03:14,14:03:13,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Tue, 21 Jun 2022 12:11:11 +0000","Tue, 21 Jun 2022 05:11:13 -0700","Tue, 21 Jun 2022 05:11:14 -0700","Tue, 21 Jun 2022 05:11:13 -0700",,,,12:11:11 +0000,05:11:13 -0700,05:11:14 -0700,05:11:13 -0700,,,14:03:11,14:03:13,14:03:14,14:03:13,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Sun, 24 Jul 2022 11:54:01 +0000","Sun, 24 Jul 2022 04:54:03 -0700","Sun, 24 Jul 2022 04:54:03 -0700","Sun, 24 Jul 2022 04:54:03 -0700",,,,11:54:01 +0000,04:54:03 -0700,04:54:03 -0700,04:54:03 -0700,,,13:46:01,13:46:03,13:46:03,13:46:03,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Sun, 24 Jul 2022 11:54:02 +0000","Sun, 24 Jul 2022 04:54:04 -0700","Sun, 24 Jul 2022 04:54:04 -0700","Sun, 24 Jul 2022 04:54:04 -0700",,,,11:54:02 +0000,04:54:04 -0700,04:54:04 -0700,04:54:04 -0700,,,13:46:02,13:46:04,13:46:04,13:46:04,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Mon, 25 Jul 2022 13:12:20 +0000","Mon, 25 Jul 2022 06:12:24 -0700","Mon, 25 Jul 2022 06:12:24 -0700","Mon, 25 Jul 2022 06:12:24 -0700",,,,13:12:20 +0000,06:12:24 -0700,06:12:24 -0700,06:12:24 -0700,,,15:04:20,15:04:24,15:04:24,15:04:24,,
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Mon, 25 Jul 2022 13:12:21 +0000","Mon, 25 Jul 2022 06:12:21 -0700","Mon, 25 Jul 2022 06:12:22 -0700","Mon, 25 Jul 2022 06:12:21 -0700",,,,13:12:21 +0000,06:12:21 -0700,06:12:22 -0700,06:12:21 -0700,,,15:04:21,15:04:21,15:04:22,15:04:21,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Thu, 16 Mar 2023 05:38:09 -0700","Thu, 16 Mar 2023 05:38:09 -0700","Thu, 16 Mar 2023 05:38:10 -0700","Thu, 16 Mar 2023 05:38:09 -0700",,,,05:38:09 -0700,05:38:09 -0700,05:38:10 -0700,05:38:09 -0700,,,14:30:09,14:30:09,14:30:10,14:30:09,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Thu, 27 Apr 2023 01:24:55 -0700","Thu, 27 Apr 2023 01:24:55 -0700","Thu, 27 Apr 2023 01:24:56 -0700","Thu, 27 Apr 2023 01:24:55 -0700",,,,01:24:55 -0700,01:24:55 -0700,01:24:56 -0700,01:24:55 -0700,,,10:16:55,10:16:55,10:16:56,10:16:55,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Tue, 23 May 2023 04:02:03 -0700","Tue, 23 May 2023 04:02:03 -0700","Tue, 23 May 2023 04:02:04 -0700","Tue, 23 May 2023 04:02:03 -0700",,,,04:02:03 -0700,04:02:03 -0700,04:02:04 -0700,04:02:03 -0700,,,12:54:03,12:54:03,12:54:04,12:54:03,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Sat, 01 Jul 2023 15:55:12 -0700","Sat, 01 Jul 2023 15:55:13 -0700","Sat, 1 Jul 2023 15:55:13 -0700","Sat, 01 Jul 2023 15:55:13 -0700",,,,15:55:12 -0700,15:55:13 -0700,15:55:13 -0700,15:55:13 -0700,,,00:47:12,00:47:13,00:47:13,00:47:13,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Sat, 05 Aug 2023 08:32:05 -0700","Sat, 05 Aug 2023 08:32:06 -0700","Sat, 5 Aug 2023 08:32:06 -0700","Sat, 05 Aug 2023 08:32:06 -0700",,,,08:32:05 -0700,08:32:06 -0700,08:32:06 -0700,08:32:06 -0700,,,17:24:05,17:24:06,17:24:06,17:24:06,,
Business Insider via LinkedIn <newsletters-noreply@linkedin.com>,"Tue, 28 Jun 2022 11:55:04 +0000","Tue, 28 Jun 2022 04:55:05 -0700","Tue, 28 Jun 2022 04:55:05 -0700","Tue, 28 Jun 2022 04:55:05 -0700",,,,11:55:04 +0000,04:55:05 -0700,04:55:05 -0700,04:55:05 -0700,,,13:47:04,13:47:05,13:47:05,13:47:05,,
Medium Daily Digest <noreply@medium.com>,"Sat, 29 Jul 2023 05:00:00 +0000","Fri, 28 Jul 2023 22:00:01 -0700","Fri, 28 Jul 2023 22:00:01 -0700","Fri, 28 Jul 2023 22:00:01 -0700",2023-07-29 00:18:02.382438192 +0000 ,,,05:00:00 +0000,22:00:01 -0700,22:00:01 -0700,22:00:01 -0700,,,06:52:00,06:52:01,06:52:01,06:52:01,,
Medium Daily Digest <noreply@medium.com>,"Sun, 23 Jul 2023 05:00:00 +0000","Sat, 22 Jul 2023 22:00:02 -0700","Sat, 22 Jul 2023 22:00:03 -0700","Sat, 22 Jul 2023 22:00:02 -0700",2023-07-23 00:11:13.822039628 +0000 ,,,05:00:00 +0000,22:00:02 -0700,22:00:03 -0700,22:00:02 -0700,,,06:52:00,06:52:02,06:52:03,06:52:02,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Tue, 30 May 2023 03:28:37 -0700","Tue, 30 May 2023 03:28:38 -0700","Tue, 30 May 2023 03:28:38 -0700","Tue, 30 May 2023 03:28:38 -0700",,,,03:28:37 -0700,03:28:38 -0700,03:28:38 -0700,03:28:38 -0700,,,12:20:37,12:20:38,12:20:38,12:20:38,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Thu, 01 Jun 2023 01:31:46 -0700","Thu, 01 Jun 2023 01:31:46 -0700","Thu, 1 Jun 2023 01:31:47 -0700","Thu, 01 Jun 2023 01:31:46 -0700",,,,01:31:46 -0700,01:31:46 -0700,01:31:47 -0700,01:31:46 -0700,,,10:23:46,10:23:46,10:23:47,10:23:46,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Sun, 02 Jul 2023 23:34:03 -0700","Sun, 02 Jul 2023 23:34:03 -0700","Sun, 2 Jul 2023 23:34:03 -0700","Sun, 02 Jul 2023 23:34:03 -0700",,,,23:34:03 -0700,23:34:03 -0700,23:34:03 -0700,23:34:03 -0700,,,08:26:03,08:26:03,08:26:03,08:26:03,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Sat, 29 Jul 2023 10:11:28 -0700","Sat, 29 Jul 2023 10:11:29 -0700","Sat, 29 Jul 2023 10:11:29 -0700","Sat, 29 Jul 2023 10:11:29 -0700",,,,10:11:28 -0700,10:11:29 -0700,10:11:29 -0700,10:11:29 -0700,,,19:03:28,19:03:29,19:03:29,19:03:29,,
Google Scholar Alerts <scholaralerts-noreply@google.com>,"Tue, 08 Aug 2023 06:58:58 -0700","Tue, 08 Aug 2023 06:58:58 -0700","Tue, 8 Aug 2023 06:58:58 -0700","Tue, 08 Aug 2023 06:58:58 -0700",,,,06:58:58 -0700,06:58:58 -0700,06:58:58 -0700,06:58:58 -0700,,,15:50:58,15:50:58,15:50:58,15:50:58,,
Medium Daily Digest <noreply@medium.com>,"Thu, 01 Jun 2023 05:00:00 +0000","Wed, 31 May 2023 22:00:03 -0700","Wed, 31 May 2023 22:00:04 -0700","Wed, 31 May 2023 22:00:03 -0700",2023-06-01 00:11:33.57680894 +0000 ,,,05:00:00 +0000,22:00:03 -0700,22:00:04 -0700,22:00:03 -0700,,,06:52:00,06:52:03,06:52:04,06:52:03,,
Medium Daily Digest <noreply@medium.com>,"Fri, 24 Feb 2023 05:00:00 +0000","Thu, 23 Feb 2023 21:00:02 -0800","Thu, 23 Feb 2023 21:00:03 -0800","Thu, 23 Feb 2023 21:00:02 -0800",2023-02-24 00:05:14.894138325 +0000 ,,,05:00:00 +0000,21:00:02 -0800,21:00:03 -0800,21:00:02 -0800,,,06:52:00,06:52:02,06:52:03,06:52:02,,
Medium Daily Digest <noreply@medium.com>,"Sat, 04 Mar 2023 05:00:00 +0000","Fri, 03 Mar 2023 21:00:01 -0800","Fri, 3 Mar 2023 21:00:01 -0800","Fri, 03 Mar 2023 21:00:01 -0800",2023-03-04 00:04:59.815514249 +0000 ,,,05:00:00 +0000,21:00:01 -0800,21:00:01 -0800,21:00:01 -0800,,,06:52:00,06:52:01,06:52:01,06:52:01,,
Medium Daily Digest <noreply@medium.com>,"Sun, 30 Apr 2023 05:00:00 +0000","Sat, 29 Apr 2023 22:00:01 -0700","Sat, 29 Apr 2023 22:00:01 -0700","Sat, 29 Apr 2023 22:00:01 -0700",2023-04-30 00:10:10.783404372 +0000 ,,,05:00:00 +0000,22:00:01 -0700,22:00:01 -0700,22:00:01 -0700,,,06:52:00,06:52:01,06:52:01,06:52:01,,
Medium Daily Digest <noreply@medium.com>,"Tue, 07 Feb 2023 05:00:00 +0000","Mon, 06 Feb 2023 21:00:01 -0800","Mon, 6 Feb 2023 21:00:01 -0800","Mon, 06 Feb 2023 21:00:01 -0800",2023-02-07 00:10:51.922746746 +0000 ,,,05:00:00 +0000,21:00:01 -0800,21:00:01 -0800,21:00:01 -0800,,,06:52:00,06:52:01,06:52:01,06:52:01,,
Medium Daily Digest <noreply@medium.com>,"Thu, 06 Jul 2023 05:00:00 +0000","Wed, 05 Jul 2023 22:00:02 -0700","Wed, 5 Jul 2023 22:00:02 -0700","Wed, 05 Jul 2023 22:00:02 -0700",2023-07-06 00:12:27.325541371 +0000 ,,,05:00:00 +0000,22:00:02 -0700,22:00:02 -0700,22:00:02 -0700,,,06:52:00,06:52:02,06:52:02,06:52:02,,
Medium Daily Digest <noreply@medium.com>,"Fri, 14 Apr 2023 05:00:00 +0000","Thu, 13 Apr 2023 22:00:01 -0700","Thu, 13 Apr 2023 22:00:01 -0700","Thu, 13 Apr 2023 22:00:01 -0700",2023-04-14 00:10:16.849609205 +0000 ,,,05:00:00 +0000,22:00:01 -0700,22:00:01 -0700,22:00:01 -0700,,,06:52:00,06:52:01,06:52:01,06:52:01,,
LinkedIn <messages-noreply@linkedin.com>,"Tue, 17 May 2022 19:14:19 +0000","Tue, 17 May 2022 12:14:23 -0700","Tue, 17 May 2022 12:14:23 -0700","Tue, 17 May 2022 12:14:23 -0700",,,,19:14:19 +0000,12:14:23 -0700,12:14:23 -0700,12:14:23 -0700,,,21:06:19,21:06:23,21:06:23,21:06:23,,
"""Wondershare"" <noreply@mail-service.wondershare.com>","Tue, 21 Mar 2023 16:09:51 +0800","Tue, 21 Mar 2023 01:09:53 -0700","Tue, 21 Mar 2023 01:09:53 -0700","Tue, 21 Mar 2023 01:09:53 -0700","Tue, 21 Mar 2023 16:09:51 +0800",,,16:09:51 +0800,01:09:53 -0700,01:09:53 -0700,01:09:53 -0700,16:09:51 +0800,,10:01:51,10:01:53,10:01:53,10:01:53,10:01:51,
Medium Daily Digest <noreply@medium.com>,"Sat, 04 Feb 2023 05:00:00 +0000","Fri, 03 Feb 2023 21:00:03 -0800","Fri, 3 Feb 2023 21:00:03 -0800","Fri, 03 Feb 2023 21:00:03 -0800",2023-02-04 00:09:29.929967985 +0000 ,,,05:00:00 +0000,21:00:03 -0800,21:00:03 -0800,21:00:03 -0800,,,06:52:00,06:52:03,06:52:03,06:52:03,,
Tshepiso <noreply@github.com>,"Thu, 17 Aug 2023 22:25:37 -0700","Thu, 17 Aug 2023 22:25:37 -0700","Thu, 17 Aug 2023 22:25:37 -0700","Thu, 17 Aug 2023 22:25:37 -0700","Thu, 17 Aug 2023 22:25:37 -0700",,,22:25:37 -0700,22:25:37 -0700,22:25:37 -0700,22:25:37 -0700,22:25:37 -0700,,07:17:37,07:17:37,07:17:37,07:17:37,07:17:37,
Tshepiso <noreply@github.com>,"Thu, 07 Sep 2023 01:31:14 -0700","Thu, 07 Sep 2023 01:31:14 -0700","Thu, 7 Sep 2023 01:31:15 -0700","Thu, 07 Sep 2023 01:31:14 -0700",,,,01:31:14 -0700,01:31:14 -0700,01:31:15 -0700,01:31:14 -0700,,,10:23:14,10:23:14,10:23:15,10:23:14,,
Tshepiso <noreply@github.com>,"Mon, 18 Sep 2023 10:11:59 -0700","Mon, 18 Sep 2023 10:12:00 -0700","Mon, 18 Sep 2023 10:12:00 -0700","Mon, 18 Sep 2023 10:12:00 -0700","Mon, 18 Sep 2023 10:11:59 -0700",,,10:11:59 -0700,10:12:00 -0700,10:12:00 -0700,10:12:00 -0700,10:11:59 -0700,,19:03:59,19:04:00,19:04:00,19:04:00,19:03:59,
"""Google Cloud Platform, Firebase and APIs"" <CloudPlatform-noreply@google.com>","Mon, 05 Jun 2023 10:08:08 -0700","Mon, 05 Jun 2023 10:08:08 -0700","Mon, 5 Jun 2023 10:08:09 -0700","Mon, 05 Jun 2023 10:08:08 -0700",,,,10:08:08 -0700,10:08:08 -0700,10:08:09 -0700,10:08:08 -0700,,,19:00:08,19:00:08,19:00:09,19:00:08,,
"""Google Cloud Platform, Firebase and APIs"" <CloudPlatform-noreply@google.com>","Thu, 20 Apr 2023 00:45:36 -0700","Thu, 20 Apr 2023 00:45:37 -0700","Thu, 20 Apr 2023 00:45:37 -0700","Thu, 20 Apr 2023 00:45:37 -0700",,,,00:45:36 -0700,00:45:37 -0700,00:45:37 -0700,00:45:37 -0700,,,09:37:36,09:37:37,09:37:37,09:37:37,,
"""Google Cloud Platform, Firebase and APIs"" <CloudPlatform-noreply@google.com>","Sun, 23 Apr 2023 00:45:39 -0700","Sun, 23 Apr 2023 00:45:40 -0700","Sun, 23 Apr 2023 00:45:40 -0700","Sun, 23 Apr 2023 00:45:40 -0700",,,,00:45:39 -0700,00:45:40 -0700,00:45:40 -0700,00:45:40 -0700,,,09:37:39,09:37:40,09:37:40,09:37:40,,
"""Google Cloud Platform, Firebase and APIs"" <CloudPlatform-noreply@google.com>","Fri, 19 May 2023 00:45:36 -0700","Fri, 19 May 2023 00:45:36 -0700","Fri, 19 May 2023 00:45:36 -0700","Fri, 19 May 2023 00:45:36 -0700",,,,00:45:36 -0700,00:45:36 -0700,00:45:36 -0700,00:45:36 -0700,,,09:37:36,09:37:36,09:37:36,09:37:36,,
"""Google Cloud Platform, Firebase and APIs"" <CloudPlatform-noreply@google.com>","Fri, 26 May 2023 05:06:09 -0700","Fri, 26 May 2023 05:06:09 -0700","Fri, 26 May 2023 05:06:09 -0700","Fri, 26 May 2023 05:06:09 -0700",,,,05:06:09 -0700,05:06:09 -0700,05:06:09 -0700,05:06:09 -0700,,,13:58:09,13:58:09,13:58:09,13:58:09,,
"""Google Cloud Platform, Firebase and APIs"" <CloudPlatform-noreply@google.com>","Mon, 29 May 2023 10:08:04 -0700","Mon, 29 May 2023 10:08:05 -0700","Mon, 29 May 2023 10:08:05 -0700","Mon, 29 May 2023 10:08:05 -0700",,,,10:08:04 -0700,10:08:05 -0700,10:08:05 -0700,10:08:05 -0700,,,19:00:04,19:00:05,19:00:05,19:00:05,,
"""Google Cloud Platform, Firebase and APIs"" <CloudPlatform-noreply@google.com>","Thu, 01 Jun 2023 10:09:18 -0700","Thu, 01 Jun 2023 10:09:19 -0700","Thu, 1 Jun 2023 10:09:19 -0700","Thu, 01 Jun 2023 10:09:18 -0700",,,,10:09:18 -0700,10:09:19 -0700,10:09:19 -0700,10:09:18 -0700,,,19:01:18,19:01:19,19:01:19,19:01:18,,
